商品名,评论内容,评论时间
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        我是七月五号买的，六号收到的，用了没几天相机就不读卡了，我刚开始没在意，以为是内存卡坏了，我就新买了一张，装上以后好用了，结果没几天又坏了，我今天买了一张新卡还是不好使，我依然觉得是内存卡的问题，带着相机找了懂相机的人帮我调试还是不好使，我背着相机去了电脑城，在哪里连着换了两张闪迪的卡，依然不好使，联系佳能售后说是内存卡卡槽坏了，维修需要三天，还必须送到售后维修，我这当地城市还没有售后站点，只能送到其他城市，联系苏宁客服也是解决不了，这大热的天出门都要晒化了，我不想说啥了，买的时候价格就乱七八糟，结果不到一个月就坏了，而且相机是2017年出厂的，是积压的货底子，***苏宁官方旗舰店比苏宁易购要便宜，劝大家谨慎考虑
                                                        ",2019-07-28 16:22:44
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        第一次在苏宁上买东西，满怀喜悦的拆开新机器，发现相机原装充电器是坏的，联系苏宁客户托了3天给与换机，第二部相机拿回来又出现黑屏的情况，和苏宁客服人员联系，让去指定维修点开具证明，结果到了苏宁指定的地点，人家根本不具备开证明的条件，又联系苏宁客户，让把相机寄望佳能总部，大概需要2周时间，也就是从相机到手里那一刻我就走上了1个月的艰苦***路，不知相机什么时候能正常使用
                                                        ",2019-07-21 17:17:00
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        就是刚买3天就降了200块，协调了好久返还了100块，这个让我有些烦，相机还在摸索中，熟练了再评价吧
                                                        ",2019-05-19 23:16:51
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        售后先告诉我这是碰烂的，我问为什么会烂的这么整齐，然后又改口说这是二次利用的包装，而且我购买的商品外包装是不贴这个一次性标签的，胶布也是烂的整整齐齐，说如果质疑自己可以去检测。相机我慢慢查吧……失望
                                                        ",2019-05-07 10:25:50
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        还保价七天，别瞎忽悠，团购降价搞那个贵就赔有什么意思，反正团购期间降多少都不会赔，千万别说保价七天，我这刚买就降价，就是不赔
                                                        ",2019-05-03 19:37:51
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        千万别买、谁买谁后悔。刚到手相机开关键就有问题，让自己拿着去售后点检测，售后点出不了检测报告，他们还必须要检测报告。
                                                        ",2019-04-25 15:41:29
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        才买两天，就变相降价200，所谓的保价仅适用正价，变相降价。客服一直迂回忽悠，浪费时间，换来换去不解决问题，让人重复对话，网购第一次差评给苏宁。
                                                        ",2019-04-17 10:50:55
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        同学们，擦亮眼，相机外观是没有问题。因为电池没电，我还没有试功能。17年4月份生产的，标签也发黄了，像积压品。一定要擦亮眼睛呀，电池都放没电了，不知道影不影响锂电池使用寿命。怪不得苏宁这个便宜呢。
                                                        ",2019-04-04 14:24:27
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        6500多买的，刚两天落价五百，坑你没商量谁买谁***！
                                                        ",2019-04-01 13:34:11
佳能（Canon）EOS 77D（18-135 镜头）数码相机单反单镜头套装机 中端单反 有效像素约2420万,"
                                                        拍出来的照片效果差，跟我IPX出来效果一个级别，清晰度也很一般，也没人给个说法
                                                        ",2019-01-18 17:05:40
